typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,Column1
C,M,20020901,2002,9,200209,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,53580,FALSE,8,kg,53580,FALSE,53580,FALSE,0,FALSE,254822.937,0,254822.937,0,FALSE,TRUE,
C,M,20031101,2003,11,200311,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12100,FALSE,8,kg,12100,FALSE,12100,FALSE,0,FALSE,47730.141,0,47730.141,0,FALSE,TRUE,
C,M,20031001,2003,10,200310,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,37862,FALSE,8,kg,37862,FALSE,37862,FALSE,0,FALSE,189913.741,0,189913.741,0,FALSE,TRUE,
C,M,20031001,2003,10,200310,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,37862,FALSE,8,kg,37862,FALSE,37862,FALSE,0,FALSE,189913.741,0,189913.741,0,FALSE,TRUE,
C,M,20030201,2003,2,200302,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,36195,FALSE,8,kg,36195,FALSE,36195,FALSE,0,FALSE,204718.274,,204718.274,0,FALSE,TRUE,
C,M,20030201,2003,2,200302,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36195,FALSE,8,kg,36195,FALSE,36195,FALSE,0,FALSE,204718.274,,204718.274,0,FALSE,TRUE,
C,M,20030101,2003,1,200301,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,6000,FALSE,8,kg,6000,FALSE,6000,FALSE,0,FALSE,37729.116,,37729.116,0,FALSE,TRUE,
C,M,20030101,2003,1,200301,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6000,FALSE,8,kg,6000,FALSE,6000,FALSE,0,FALSE,37729.116,,37729.116,0,FALSE,TRUE,
C,M,20030801,2003,8,200308,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,72395,FALSE,8,kg,72395,FALSE,72395,FALSE,0,FALSE,347162.436,0,347162.436,0,FALSE,TRUE,
C,M,20030801,2003,8,200308,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,72395,FALSE,8,kg,72395,FALSE,72395,FALSE,0,FALSE,347162.436,0,347162.436,0,FALSE,TRUE,
